,Symbol,Name,Price,Change %,24h Volume,Market Cap,URL
159,SYS,Syscoin,$0.18820000,+4.15%,2.22M,$141.82M,https://www.binance.com/en/trade/SYS_BUSD?_from=markets
160,SLP,Smooth Love Potion,$0.00328100,-3.02%,22.57M,$139.36M,https://www.binance.com/en/trade/SLP_BUSD?_from=markets
161,SCRT,Secret,$0.84600000,+0.24%,4.68M,$138.14M,https://www.binance.com/en/trade/SCRT_BUSD?_from=markets
162,MC,Merit Circle,$0.37900000,-2.07%,4.79M,$137.81M,https://www.binance.com/en/trade/MC_BUSD?_from=markets
163,PUNDIX,Pundi X,$0.53200000,+2.31%,18.71M,$137.51M,https://www.binance.com/en/trade/PUNDIX_BUSD?_from=markets
164,PEOPLE,ConstitutionDAO,$0.02680000,+1.02%,15.11M,$135.61M,https://www.binance.com/en/trade/PEOPLE_BUSD?_from=markets
165,GTC,Gitcoin,$2.18,-5.38%,16.48M,$130.61M,https://www.binance.com/en/trade/GTC_BUSD?_from=markets
166,HFT,Hashflow,$0.69030000,-0.50%,46.03M,$130.21M,https://www.binance.com/en/trade/HFT_BUSD?_from=markets
167,CVC,Civic,$0.13000000,+4.33%,44.72M,$130.00M,https://www.binance.com/en/trade/CVC_BUSD?_from=markets
168,API3,API3,$1.60,+2.11%,8.87M,$128.30M,https://www.binance.com/en/trade/API3_BUSD?_from=markets
169,CHR,Chromia,$0.18350000,+1.77%,14.59M,$125.98M,https://www.binance.com/en/trade/CHR_BUSD?_from=markets
170,REN,Ren,$0.12577500,+17.39%,230.91M,$125.65M,https://www.binance.com/en/trade/REN_BUSD?_from=markets
171,NMR,Numeraire,$21.19,+4.75%,45.02M,$124.77M,https://www.binance.com/en/trade/NMR_BUSD?_from=markets
172,HOOK,Hooked Protocol,$2.47,+4.96%,79.16M,$123.50M,https://www.binance.com/en/trade/HOOK_BUSD?_from=markets
173,POLYX,Polymesh,$0.20540000,+1.94%,10.03M,$121.68M,https://www.binance.com/en/trade/POLYX_BUSD?_from=markets
174,XNO,Nano,$0.91300000,+0.66%,1.62M,$121.65M,https://www.binance.com/en/trade/XNO_BUSD?_from=markets
175,SNT,Status,$0.03022000,-1.53%,5.12M,$119.43M,https://www.binance.com/en/trade/SNT_BUSD?_from=markets
176,DENT,DENT,$0.00118300,+0.68%,6.23M,$117.12M,https://www.binance.com/en/trade/DENT_BUSD?_from=markets
177,REQ,Request Network,$0.11380000,+0.89%,3.63M,$113.78M,https://www.binance.com/en/trade/REQ_BUSD?_from=markets
178,VGX,Voyager Token,$0.40200000,-0.25%,24.25M,$111.94M,https://www.binance.com/en/trade/VGX_USDT?_from=markets
179,DEXE,DeXe,$3.06,+3.62%,2.11M,$111.60M,https://www.binance.com/en/trade/DEXE_BUSD?_from=markets
180,ONG,Ontology Gas,$0.33100000,+0.06%,3.71M,$110.34M,https://www.binance.com/en/trade/ONG_USDT?_from=markets
181,ANT,Aragon,$2.73,-0.15%,7.06M,$109.28M,https://www.binance.com/en/trade/ANT_BUSD?_from=markets
182,CTSI,Cartesi,$0.16500000,-0.36%,6.87M,$107.92M,https://www.binance.com/en/trade/CTSI_BUSD?_from=markets
183,POWR,PowerLedger,$0.22360000,+2.24%,144.54M,$107.39M,https://www.binance.com/en/trade/POWR_BUSD?_from=markets
184,ALPHA,Alpha Finance Lab,$0.13830000,+1.39%,4.18M,$107.04M,https://www.binance.com/en/trade/ALPHA_BUSD?_from=markets
185,DODO,DODO,$0.23640000,-10.89%,54.14M,$106.97M,https://www.binance.com/en/trade/DODO_BUSD?_from=markets
186,ARDR,Ardor,$0.10690000,+0.75%,3.21M,$106.79M,https://www.binance.com/en/trade/ARDR_USDT?_from=markets
